age,industry,gender,race,job,timestamp,experience_overall_years,experience_field_years,education
25-34,"Marketing, Advertising & PR",Woman,White,Senior Music Producer,4/27/2021 20:11:25,8 - 10 years,8 - 10 years,College degree
45-54,Computing or Tech,Other or prefer not to answer,Another option not listed here or prefer not to answer,senior sysadmin,4/27/2021 12:32:58,21 - 30 years,21 - 30 years,Some college
45-54,Insurance,Woman,White,Product Manager,4/29/2021 21:42:15,21 - 30 years,21 - 30 years,College degree
35-44,Computing or Tech,Man,White,Front End Engineer ,4/27/2021 21:21:13,11 - 20 years,2 - 4 years,College degree
45-54,Computing or Tech,Man,White,Customer service ,4/28/2021 14:19:39,21 - 30 years,11 - 20 years,College degree
25-34,Government and Public Administration,Man,White,Project Coordinator,4/29/2021 9:04:21,8 - 10 years,2 - 4 years,Master's degree
25-34,"Marketing, Advertising & PR",Woman,White,Email Marketing Manager,4/29/2021 17:21:48,11 - 20 years,8 - 10 years,College degree
25-34,Computing or Tech,Man,Asian or Asian American,Senior Researcher,4/27/2021 11:26:08,8 - 10 years,5-7 years,PhD
35-44,Education (Higher Education),Woman,White,Dean of University Libraries,4/29/2021 16:00:46,11 - 20 years,8 - 10 years,Master's degree
35-44,"Accounting, Banking & Finance",Woman,White,EA,4/27/2021 14:58:00,11 - 20 years,11 - 20 years,Master's degree
18-24,"Marketing, Advertising & PR",Man,White,Data Scientist,4/28/2021 1:46:47,2 - 4 years,2 - 4 years,College degree
55-64,Property or Construction,Woman,White,Staff Accountant,4/30/2021 20:08:35,31 - 40 years,5-7 years,College degree
25-34,Education (Higher Education),Non-binary,White,Graduate Research Assistant,5/5/2021 18:00:33,5-7 years,2 - 4 years,Master's degree
25-34,Insurance,Man,Black or African American,Customer Service Representative,10/26/2021 14:46:41,8 - 10 years,1 year or less,Some college
25-34,Media & Digital,Woman,White,Advertising Account Executive,5/3/2021 14:31:09,5-7 years,2 - 4 years,College degree
35-44,Government and Public Administration,Woman,White,Scientist,4/27/2021 12:50:00,5-7 years,5-7 years,PhD
55-64,Computing or Tech,Woman,White,"Senior Associate, Quality Assurance ",4/27/2021 14:09:13,21 - 30 years,21 - 30 years,College degree
25-34,Publishing,Woman,White,Production Editor II,4/27/2021 12:17:40,8 - 10 years,8 - 10 years,College degree
25-34,Nonprofits,Woman,White,Vice President of Policy,4/28/2021 1:22:09,11 - 20 years,11 - 20 years,Master's degree
25-34,Transport or Logistics,Man,Asian or Asian American,Junior Transport planner ,10/26/2021 14:35:19,2 - 4 years,2 - 4 years,Master's degree
25-34,Computing or Tech,Man,"Black or African American, Hispanic, Latino, or Spanish origin",Sales operations program manager,4/28/2021 18:32:21,8 - 10 years,5-7 years,College degree
25-34,Computing or Tech,Woman,White,Financial Systems Analyst,4/28/2021 15:35:25,8 - 10 years,5-7 years,College degree
25-34,Government and Public Administration,Man,White,visitor use assistant,4/27/2021 12:36:21,5-7 years,5-7 years,Master's degree
35-44,Computing or Tech,Woman,White,Director of Professional Services,4/27/2021 11:43:36,11 - 20 years,11 - 20 years,College degree
35-44,Art & Design,Woman,Black or African American,Photographer ,4/27/2021 11:21:48,11 - 20 years,11 - 20 years,Master's degree
35-44,Education (Higher Education),Woman,White,Professor,4/28/2021 13:37:15,11 - 20 years,11 - 20 years,PhD
45-54,library,Woman,White,librarian,4/27/2021 19:50:33,21 - 30 years,21 - 30 years,Master's degree
25-34,Education (Higher Education),Woman,Black or African American,Admissions Specialist,5/4/2021 14:48:07,11 - 20 years,8 - 10 years,College degree
25-34,Recruitment or HR,Woman,White,Director of PEO Human Resources,5/1/2021 10:08:43,8 - 10 years,5-7 years,College degree
35-44,Computing or Tech,Woman,White,Customer Experience Operations Manager,4/29/2021 12:23:43,11 - 20 years,11 - 20 years,Some college
25-34,Entertainment,Woman,White,Community Manager,4/29/2021 20:22:48,11 - 20 years,5-7 years,College degree
25-34,Commercial Real Estate - Private Equity,Woman,White,Administrative Assistant,4/27/2021 14:27:04,5-7 years,2 - 4 years,Master's degree
35-44,Computing or Tech,Woman,White,Engineering Manager,4/29/2021 0:13:47,11 - 20 years,21 - 30 years,Some college
45-54,Insurance,Woman,Another option not listed here or prefer not to answer,Administrative assistant ,5/4/2021 18:43:54,21 - 30 years,8 - 10 years,Some college
45-54,Property or Construction,Woman,White,Office Manager,4/27/2021 12:32:22,21 - 30 years,21 - 30 years,Some college
35-44,Nonprofits,Woman,White,Registrar,4/27/2021 15:34:23,8 - 10 years,8 - 10 years,Master's degree
35-44,Retail,Woman,White,Senior Director,10/9/2021 15:56:32,11 - 20 years,11 - 20 years,Master's degree
18-24,Engineering or Manufacturing,Woman,White,Environmental Health and Safety Specialist,4/28/2021 14:17:02,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Woman,"Middle Eastern or Northern African, White",Field Human Resources Generalist,4/27/2021 12:11:46,5-7 years,2 - 4 years,College degree
45-54,Engineering or Manufacturing,Man,White,Cost Accountant,4/29/2021 13:21:21,21 - 30 years,21 - 30 years,College degree
25-34,Nonprofits,Woman,"Hispanic, Latino, or Spanish origin",Executive Assistant ,6/15/2022 1:50:02,11 - 20 years,5-7 years,College degree
25-34,Government and Public Administration,Woman,White,Planner,4/28/2021 14:08:36,11 - 20 years,8 - 10 years,Master's degree
45-54,"Accounting, Banking & Finance",Woman,White,Director of Human Resources,4/28/2021 9:57:04,11 - 20 years,11 - 20 years,College degree
25-34,Nonprofits,Woman,Asian or Asian American,Grant Administrator,4/27/2021 22:04:32,5-7 years,5-7 years,Master's degree
25-34,Nonprofits,Man,White,Director of Programs,4/27/2021 20:14:07,11 - 20 years,2 - 4 years,College degree
25-34,Art & Design,Woman,White,Senior Designer,5/6/2021 9:12:54,8 - 10 years,5-7 years,Master's degree
25-34,Computing or Tech,Woman,White,Staff Technical Writer,4/27/2021 17:50:30,8 - 10 years,8 - 10 years,College degree
35-44,Engineering or Manufacturing,Other or prefer not to answer,White,Facilities Technician,4/27/2021 21:07:29,11 - 20 years,8 - 10 years,High School
25-34,Computing or Tech,Non-binary,White,Silicon Validation Engineer,4/27/2021 20:17:32,8 - 10 years,2 - 4 years,Master's degree
25-34,Computing or Tech,Woman,Asian or Asian American,Director of Data Science,4/27/2021 17:30:48,2 - 4 years,2 - 4 years,PhD
35-44,Cultural Resources Management/Major Univ.,Woman,White,Asst. Curator & Outreach Coordinator,4/27/2021 12:44:56,11 - 20 years,8 - 10 years,Master's degree
25-34,Engineering or Manufacturing,Woman,"Hispanic, Latino, or Spanish origin",Systems Engineer,4/29/2021 12:02:05,2 - 4 years,2 - 4 years,College degree
35-44,Engineering or Manufacturing,Woman,White,Senior Demand Planner,4/28/2021 19:12:16,11 - 20 years,8 - 10 years,Master's degree
25-34,Education (Higher Education),Woman,White,Business Operations Analyst,4/27/2021 11:41:19,8 - 10 years,2 - 4 years,Some college
25-34,Computing or Tech,Woman,White,Program Manager,5/5/2021 15:51:58,5-7 years,2 - 4 years,College degree
25-34,Government and Public Administration,Woman,White,Program Director,4/29/2021 13:22:39,11 - 20 years,11 - 20 years,Master's degree
25-34,Medical Research,Non-binary,White,Clinical Biospecimen Coordinator,4/28/2021 9:43:40,8 - 10 years,2 - 4 years,College degree
25-34,Library Page (Public county library),Woman,White,Library Page,4/27/2021 13:48:27,2 - 4 years,2 - 4 years,College degree
25-34,Education (Primary/Secondary),Woman,White,Pre-School teacher,4/27/2021 11:30:28,11 - 20 years,11 - 20 years,College degree
25-34,Engineering or Manufacturing,Woman,White,Field Service Specialist,4/29/2021 11:02:40,2 - 4 years,2 - 4 years,Master's degree
25-34,Media & Digital,Woman,Asian or Asian American,Director,4/28/2021 15:14:40,8 - 10 years,8 - 10 years,College degree
25-34,Health care,Man,White,Certified Pharmacy Technician,4/28/2021 18:52:57,8 - 10 years,5-7 years,Some college
25-34,Biomedical Research,Woman,White,"Research Scientist, Senior-level",4/27/2021 17:27:51,8 - 10 years,5-7 years,Master's degree
25-34,Education (Higher Education),Woman,White,Professional Services Specialist IV,4/30/2021 17:33:49,8 - 10 years,8 - 10 years,Master's degree
25-34,Health care,Man,White,Medical Writer,4/28/2021 17:13:00,5-7 years,2 - 4 years,Master's degree
55-64,Government and Public Administration,Woman,White,Regional Director,4/30/2021 23:37:17,31 - 40 years,11 - 20 years,College degree
35-44,Utilities & Telecommunications,Man,White,Director of Engineering,4/29/2021 0:10:19,11 - 20 years,11 - 20 years,Some college
25-34,Recruitment or HR,Woman,White,Recruiter,4/27/2021 22:33:55,11 - 20 years,8 - 10 years,College degree
35-44,Education (Higher Education),Woman,White,Assistant Professor,4/27/2021 13:32:23,5-7 years,5-7 years,PhD
35-44,Education (Higher Education),Woman,White,Director of Research Development ,4/28/2021 9:23:41,11 - 20 years,8 - 10 years,PhD
25-34,Nonprofits,Woman,White,Development Events Manager,4/27/2021 16:03:53,5-7 years,2 - 4 years,Master's degree
25-34,Sales,Woman,White,Customer Support Manager,4/30/2021 21:27:19,8 - 10 years,5-7 years,College degree
25-34,Computing or Tech,Woman,White,Sr UX Researcher,4/30/2021 23:10:46,5-7 years,5-7 years,College degree
35-44,Health care,Woman,Asian or Asian American,Clinical psychologist,1/23/2022 18:51:47,5-7 years,5-7 years,PhD
25-34,Book Publishing,Woman,White,Foreign Rights Assistant,4/28/2021 12:33:01,11 - 20 years,2 - 4 years,Master's degree
35-44,Recruitment or HR,Woman,"Hispanic, Latino, or Spanish origin",Recruiter,4/29/2021 12:23:29,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
45-54,"Accounting, Banking & Finance",Woman,White,Senior IT Analyst,4/27/2021 11:43:20,21 - 30 years,5-7 years,College degree
35-44,Government and Public Administration,Woman,Black or African American,Paralegal ,4/27/2021 22:46:45,21 - 30 years,11 - 20 years,Master's degree
35-44,Education (Higher Education),Woman,White,Learning designer (project lead),4/27/2021 12:10:47,8 - 10 years,2 - 4 years,PhD
35-44,Education (Higher Education),Woman,White,Student Services Coordinator,4/27/2021 12:54:42,11 - 20 years,11 - 20 years,Master's degree
